Node,  X Coordinate (m),  Y Coordinate (m),  Liquid X Volume Flux (m3/[m2 s]),  Liquid Y Volume Flux (m3/[m2 s])
0000000066,    3250.00000    ,    0.00000000    ,  -0.300696788E-08,    0.00000000    
0000000067,    3300.00000    ,    0.00000000    ,  -0.232768199E-08,    0.00000000    
0000000068,    3350.00000    ,    0.00000000    ,  -0.164468183E-08,    0.00000000    
0000000069,    3400.00000    ,    0.00000000    ,  -0.993675939E-09,    0.00000000    
0000000070,    3450.00000    ,    0.00000000    ,  -0.437969441E-09,    0.00000000    
0000000071,    3500.00000    ,    0.00000000    ,  -0.194362812E-09,    0.00000000    
0000000072,    3550.00000    ,    0.00000000    ,  -0.195279325E-09,    0.00000000    
0000000073,    3600.00000    ,    0.00000000    ,  -0.195292814E-09,    0.00000000    
0000000074,    3650.00000    ,    0.00000000    ,  -0.195292814E-09,    0.00000000    
0000000075,    3700.00000    ,    0.00000000    ,  -0.194980077E-09,    0.00000000    
0000000076,    3750.00000    ,    0.00000000    ,  -0.194474905E-09,    0.00000000    
0000000077,    3800.00000    ,    0.00000000    ,  -0.193808204E-09,    0.00000000    
0000000078,    3850.00000    ,    0.00000000    ,  -0.192981918E-09,    0.00000000    
0000000079,    3900.00000    ,    0.00000000    ,  -0.191992380E-09,    0.00000000    
0000000080,    3950.00000    ,    0.00000000    ,  -0.190836987E-09,    0.00000000    
0000000081,    4000.00000    ,    0.00000000    ,  -0.189515911E-09,    0.00000000    
0000000082,    4050.00000    ,    0.00000000    ,  -0.188032186E-09,    0.00000000    
0000000083,    4100.00000    ,    0.00000000    ,  -0.186391272E-09,    0.00000000    
0000000084,    4150.00000    ,    0.00000000    ,  -0.184600502E-09,    0.00000000    
0000000085,    4200.00000    ,    0.00000000    ,  -0.182668549E-09,    0.00000000    
0000000086,    4250.00000    ,    0.00000000    ,  -0.180604972E-09,    0.00000000    
0000000087,    4300.00000    ,    0.00000000    ,  -0.178419848E-09,    0.00000000    
0000000088,    4350.00000    ,    0.00000000    ,  -0.176123482E-09,    0.00000000    
0000000089,    4400.00000    ,    0.00000000    ,  -0.173726199E-09,    0.00000000    
0000000090,    4450.00000    ,    0.00000000    ,  -0.171238178E-09,    0.00000000    
0000000091,    4500.00000    ,    0.00000000    ,  -0.168669336E-09,    0.00000000    
0000000092,    4550.00000    ,    0.00000000    ,  -0.166029247E-09,    0.00000000    
0000000093,    4600.00000    ,    0.00000000    ,  -0.163327085E-09,    0.00000000    
0000000094,    4650.00000    ,    0.00000000    ,  -0.160571589E-09,    0.00000000    
0000000095,    4700.00000    ,    0.00000000    ,  -0.157771041E-09,    0.00000000    
0000000096,    4750.00000    ,    0.00000000    ,  -0.154933260E-09,    0.00000000    
0000000097,    4800.00000    ,    0.00000000    ,  -0.152065595E-09,    0.00000000    
0000000098,    4850.00000    ,    0.00000000    ,  -0.149174936E-09,    0.00000000    
0000000099,    4900.00000    ,    0.00000000    ,  -0.146267718E-09,    0.00000000    
0000000100,    4950.00000    ,    0.00000000    ,  -0.143349939E-09,    0.00000000    
0000000101,    5000.00000    ,    0.00000000    ,  -0.140427167E-09,    0.00000000    
0000000102,    5050.00000    ,    0.00000000    ,  -0.137504563E-09,    0.00000000    
0000000103,    5100.00000    ,    0.00000000    ,  -0.134586896E-09,    0.00000000    
0000000104,    5150.00000    ,    0.00000000    ,  -0.131678560E-09,    0.00000000    
0000000105,    5200.00000    ,    0.00000000    ,  -0.128783591E-09,    0.00000000    
0000000106,    5250.00000    ,    0.00000000    ,  -0.125905690E-09,    0.00000000    
0000000107,    5300.00000    ,    0.00000000    ,  -0.123048234E-09,    0.00000000    
0000000108,    5350.00000    ,    0.00000000    ,  -0.120214300E-09,    0.00000000    
0000000109,    5400.00000    ,    0.00000000    ,  -0.117406676E-09,    0.00000000    
0000000110,    5450.00000    ,    0.00000000    ,  -0.114627885E-09,    0.00000000    
0000000111,    5500.00000    ,    0.00000000    ,  -0.111880195E-09,    0.00000000    
0000000112,    5550.00000    ,    0.00000000    ,  -0.109165635E-09,    0.00000000    
0000000113,    5600.00000    ,    0.00000000    ,  -0.106486013E-09,    0.00000000    
0000000114,    5650.00000    ,    0.00000000    ,  -0.103842931E-09,    0.00000000    
0000000115,    5700.00000    ,    0.00000000    ,  -0.101237791E-09,    0.00000000    
0000000116,    5750.00000    ,    0.00000000    ,  -0.986718191E-10,    0.00000000    
0000000117,    5800.00000    ,    0.00000000    ,  -0.961460677E-10,    0.00000000    
0000000118,    5850.00000    ,    0.00000000    ,  -0.936614335E-10,    0.00000000    
0000000119,    5900.00000    ,    0.00000000    ,  -0.912186665E-10,    0.00000000    
0000000120,    5950.00000    ,    0.00000000    ,  -0.888183806E-10,    0.00000000    
0000000121,    6000.00000    ,    0.00000000    ,  -0.864610637E-10,    0.00000000    
0000000122,    6050.00000    ,    0.00000000    ,  -0.841470871E-10,    0.00000000    
0000000123,    6100.00000    ,    0.00000000    ,  -0.818767139E-10,    0.00000000    
0000000124,    6150.00000    ,    0.00000000    ,  -0.796501081E-10,    0.00000000    
0000000125,    6200.00000    ,    0.00000000    ,  -0.774673413E-10,    0.00000000    
0000000126,    6250.00000    ,    0.00000000    ,  -0.753284011E-10,    0.00000000    
0000000127,    6300.00000    ,    0.00000000    ,  -0.732331967E-10,    0.00000000    
0000000128,    6350.00000    ,    0.00000000    ,  -0.711815665E-10,    0.00000000    
0000000129,    6400.00000    ,    0.00000000    ,  -0.691732828E-10,    0.00000000    
0000000130,    6450.00000    ,    0.00000000    ,  -0.672080585E-10,    0.00000000    
0000000131,    6500.00000    ,    0.00000000    ,  -0.652855515E-10,    0.00000000    
0000000132,    6550.00000    ,    0.00000000    ,  -0.634053699E-10,    0.00000000    
0000000133,    6600.00000    ,    0.00000000    ,  -0.615670764E-10,    0.00000000    
0000000134,    6650.00000    ,    0.00000000    ,  -0.597701927E-10,    0.00000000    
0000000135,    6700.00000    ,    0.00000000    ,  -0.580142031E-10,    0.00000000    
0000000136,    6750.00000    ,    0.00000000    ,  -0.562985587E-10,    0.00000000    
0000000137,    6800.00000    ,    0.00000000    ,  -0.546226803E-10,    0.00000000    
0000000138,    6850.00000    ,    0.00000000    ,  -0.529859620E-10,    0.00000000    
0000000139,    6900.00000    ,    0.00000000    ,  -0.513877737E-10,    0.00000000    
0000000140,    6950.00000    ,    0.00000000    ,  -0.498274645E-10,    0.00000000    
0000000141,    7000.00000    ,    0.00000000    ,  -0.483043647E-10,    0.00000000    
0000000142,    7050.00000    ,    0.00000000    ,  -0.468177884E-10,    0.00000000    
0000000143,    7100.00000    ,    0.00000000    ,  -0.453670355E-10,    0.00000000    
0000000144,    7150.00000    ,    0.00000000    ,  -0.439513942E-10,    0.00000000    
0000000145,    7200.00000    ,    0.00000000    ,  -0.425701423E-10,    0.00000000    
0000000146,    7250.00000    ,    0.00000000    ,  -0.412225494E-10,    0.00000000    
0000000147,    7300.00000    ,    0.00000000    ,  -0.399078783E-10,    0.00000000    
0000000148,    7350.00000    ,    0.00000000    ,  -0.386253864E-10,    0.00000000    
0000000149,    7400.00000    ,    0.00000000    ,  -0.373743274E-10,    0.00000000    
0000000150,    7450.00000    ,    0.00000000    ,  -0.361539521E-10,    0.00000000    
0000000151,    7500.00000    ,    0.00000000    ,  -0.349635102E-10,    0.00000000    
0000000152,    7550.00000    ,    0.00000000    ,  -0.338022509E-10,    0.00000000    
0000000153,    7600.00000    ,    0.00000000    ,  -0.326694241E-10,    0.00000000    
0000000154,    7650.00000    ,    0.00000000    ,  -0.315642813E-10,    0.00000000    
